ID,revolutions,humidity,vibration
3,93.084,73.943,18.17
3,93.08,73.943,18.17
3,93.077,73.943,18.17
3,93.073,73.942,18.17
3,93.069,73.942,18.18
3,93.065,73.942,18.18
3,93.061,73.941,18.18
3,93.057,73.941,18.18
4,93.053,73.941,18.18
4,93.05,73.94,18.18
4,93.046,73.94,18.18
4,93.042,73.94,18.18
4,93.038,73.939,18.18
4,93.034,73.939,18.18
4,93.03,73.939,18.19
4,93.026,73.938,18.19
4,93.023,73.938,18.19
4,93.019,73.938,18.19
4,93.015,73.937,18.19
4,93.011,73.937,18.19
4,93.007,73.937,18.19
4,93.003,73.936,18.19
4,92.999,73.936,18.19
4,92.996,73.936,18.19
4,92.992,73.935,18.2
4,92.988,73.935,18.2
4,92.984,73.935,18.2
4,92.98,73.934,18.2
4,92.976,73.934,18.2
4,92.972,73.934,18
4,92.969,73.933,18.2
4,92.965,73.933,18.2
4,92.961,73.933,18.2
4,92.957,73.932,18.2
4,92.953,73.932,18.21
4,92.949,73.932,18.21
4,92.945,73.932,18.21
4,92.942,73.931,18.21
4,92.938,73.931,18.21
4,92.934,73.931,18.21
4,92.93,73.93,18.21
4,92.926,73.93,18.21
4,92.922,73.93,18.21
4,92.918,73.929,18.21
4,92.915,73.929,18.22
4,92.911,73.929,18.22
4,92.907,73.928,18.22
4,92.903,73.928,18.22
4,92.899,73.928,18.22
4,92.895,73.927,18.22
4,92.891,73.927,18.22
4,92.888,73.927,18.22
4,92.884,73.926,18.22
4,92.88,73.926,18.22
4,92.876,73.926,18.23
4,92.872,73.925,18.23
4,92.868,73.925,18.23
4,92.864,73.925,18.23
4,92.861,73.924,18.23
4,92.857,73.924,18.23
4,92.853,73.924,18.23
4,92.849,73.923,18.23
4,92.845,73.923,18.23
4,92.841,73.923,18.23
4,92.837,73.922,18.24
4,92.834,73.922,18.24
4,92.83,73.922,18.24
4,92.826,73.921,18.24
5,92.822,73.921,18.24
5,92.818,73.921,18.24
5,92.814,73.92,18.24
5,92.81,73.92,18.24
5,92.807,73.92,18.24
5,92.803,73.919,18.24
5,92.799,73.919,18.25
5,92.795,73.919,18.25
5,92.791,73.918,18.25
5,92.787,73.918,18.25
5,92.783,73.918,18.25
5,92.779,73.917,18.25
5,92.776,73.917,18.25
5,92.772,73.917,18.25
5,92.768,73.917,18.25
5,92.764,73.916,18.25
5,92.76,73.916,18.26
5,92.756,73.916,18.26
5,92.752,73.915,18.26
5,92.749,73.915,18.26
5,92.745,73.915,18.26
5,92.741,73.914,18.26
5,92.737,73.914,18.26
5,92.733,73.914,18.26
5,92.729,73.913,18.26
5,92.725,73.913,18.26
5,92.722,73.913,18.27
5,92.718,73.912,18.27
5,92.714,73.912,18.27
5,92.71,73.912,18.27
5,92.706,73.911,18.27
5,92.702,73.911,18.27
5,92.698,73.911,18.27
5,92.695,73.91,18.27
5,92.691,73.91,18.27
5,92.687,73.91,18.27
5,92.683,73.909,18.28
5,92.679,73.909,18.28
5,92.675,73.909,18.28
5,92.671,73.908,18.28
5,92.668,73.908,18.28
5,92.664,73.908,18.28
5,92.66,73.907,18.28
5,92.656,73.907,18.28
5,92.652,73.907,18.28
5,92.648,73.906,18.28
5,92.644,73.906,18.29
5,92.641,73.906,18.29
5,92.637,73.905,18.29
5,92.633,73.905,18.29
5,92.629,73.905,18.29
5,92.625,73.904,18.29
5,92.621,73.904,18.29
5,92.617,73.904,18.29
5,92.614,73.903,18.29
5,92.61,73.903,18.29
5,92.606,73.903,18.3
5,92.602,73.903,18.3
5,92.598,73.902,18.3
5,92.594,73.902,18.3
6,92.59,73.902,18.3
6,92.587,73.901,18
6,92.583,73.901,18.3
6,92.579,73.901,18.3
6,92.575,73.9,18.3
6,92.571,73.9,18.3
6,92.567,73.9,18.31
6,92.563,73.899,18.31
6,92.56,73.899,18.31
6,92.556,73.899,18.31
6,92.552,73.898,18.31
6,92.548,73.898,18.31
6,92.544,73.898,18.31
6,92.54,73.897,18.31
6,92.536,73.897,18.31
6,92.533,73.897,18.31
6,92.529,73.896,18.32
6,92.525,73.896,18.32
6,92.521,73.896,18.32
6,92.517,73.895,18.32
6,92.513,73.895,18.32
6,92.509,73.895,18.32
6,92.506,73.894,18.32
6,92.502,73.894,18.32
6,92.498,73.894,18.32
6,92.494,73.893,18.32
6,92.49,73.893,18.33
6,92.486,73.893,18.33
6,92.482,73.892,18.33
6,92.479,73.892,18.33
6,92.475,73.892,18.33
6,92.471,73.891,18.33
6,92.467,73.891,18.33
6,92.463,73.891,18.33
6,92.459,73.89,18.33
6,92.455,73.89,18.33
6,92.452,73.89,18.34
6,92.448,73.889,18.34
6,92.444,73.889,18.34
6,92.44,73.889,18.34
6,92.436,73.888,18.34
6,92.432,73.888,18.34
6,92.428,73.888,18.34
6,92.425,73.888,18.34
6,92.421,73.887,18.34
6,92.417,73.887,18.34
6,92.413,73.887,18.35
6,92.409,73.886,18.35
6,92.405,73.886,18.35
6,92.401,73.886,18.35
6,92.398,73.885,18.35
6,92.394,73.885,18.35
6,92.39,73.885,18.35
6,92.386,73.884,18.35
6,92.382,73.884,18.35
6,92.378,73.884,18.35
6,92.374,73.883,18.36
6,92.371,73.883,18.36
6,92.367,73.883,18.36
6,92.363,73.882,18.36
7,92.359,73.882,18.36
7,92.355,73.882,18.36
7,92.351,73.881,18.36
7,92.347,73.881,18.36
7,92.344,73.881,18.36
7,92.34,73.88,18.36
7,92.336,73.88,18.37
7,92.332,73.88,18.37
7,92.328,73.879,18.37
7,92.324,73.879,18.37
7,92.32,73.879,18.37
7,92.317,73.878,18.37
7,92.313,73.878,18.37
7,92.309,73.878,18.37
7,92.305,73.877,18.37
7,92.301,73.877,18.37
7,92.297,73.877,18.38
7,92.293,73.876,18.38
7,92.29,73.876,18.38
7,92.286,73.876,18.38
7,92.282,73.875,18.38
7,92.278,73.875,18.38
7,92.274,73.875,18.38
7,92.27,73.874,18.38
7,92.266,73.874,18.38
7,92.263,73.874,18.38
7,92.259,73.873,18.39
7,92.255,73.873,18.39
7,92.251,73.873,18.39
7,92.247,73.873,18.39
7,92.243,73.872,18.39
7,92.239,73.872,18.39
7,92.236,73.872,18.39
7,92.232,73.871,18.39
7,92.228,73.871,18.39
7,92.224,73.871,18.39
7,92.22,73.87,18.4
7,92.216,73.87,18.4
7,92.212,73.87,18.4
7,92.209,73.869,18.4
7,92.205,73.869,18.4
7,92.201,73.869,18
7,92.197,73.868,18.4
7,92.193,73.868,18.4
7,92.189,73.868,18.4
7,92.185,73.867,18.4
7,92.182,73.867,18.41
7,92.178,73.867,18.41
7,92.174,73.866,18.41
7,92.17,73.866,18.41
7,92.166,73.866,18.41
7,92.162,73.865,18.41
7,92.158,73.865,18.41
7,92.155,73.865,18.41
7,92.151,73.864,18.41
7,92.147,73.864,18.41
7,92.143,73.864,18.42
7,92.139,73.863,18.42
7,92.135,73.863,18.42
7,92.131,73.863,18.42
8,92.127,73.862,18.42
8,92.124,73.862,18.42
8,92.12,73.862,18.42
8,92.116,73.861,18.42
8,92.112,73.861,18.42
8,92.108,73.861,18.42
8,92.104,73.86,18.43
8,92.1,73.86,18.43
8,92.097,73.86,18.43
8,92.093,73.859,18.43
8,92.089,73.859,18.43
8,92.085,73.859,18.43
8,92.081,73.858,18.43
8,92.077,73.858,18.43
8,92.073,73.858,18.43
8,92.07,73.858,18.43
8,92.066,73.857,18.44
8,92.062,73.857,18.44
8,92.058,73.857,18.44
8,92.054,73.856,18.44
8,92.05,73.856,18.44
8,92.046,73.856,18.44
8,92.043,73.855,18.44
8,92.039,73.855,18.44
8,92.035,73.855,18.44
8,92.031,73.854,18.44
8,92.027,73.854,18.45
8,92.023,73.854,18.45
8,92.019,73.853,18.45
8,92.016,73.853,18.45
8,92.012,73.853,18.45
8,92.008,73.852,18.45
8,92.004,73.852,18.45
8,92,73.852,18.45
8,91.996,73.851,18.45
8,91.992,73.851,18.45
8,91.989,73.851,18.46
8,91.985,73.85,18.46
8,91.981,73.85,18.46
8,91.977,73.85,18.46
8,91.973,73.849,18.46
8,91.969,73.849,18.46
8,91.965,73.849,18.46
8,91.962,73.848,18.46
8,91.958,73.848,18.46
8,91.954,73.848,18.46
8,91.95,73.847,18.47
8,91.946,73.847,18.47
8,91.942,73.847,18.47
8,91.938,73.846,18.47
8,91.935,73.846,18.47
8,91.931,73.846,18.47
8,91.927,73.845,18.47
8,91.923,73.845,18.47
8,91.919,73.845,18.47
8,91.915,73.844,18.47
8,91.911,73.844,18.48
8,91.908,73.844,18.48
8,91.904,73.843,18.48
8,91.9,73.843,18.48
9,91.896,73.843,18.48
9,91.892,73.843,18.48
9,91.888,73.842,18.48
9,91.884,73.842,18.48
9,91.881,73.842,18.48
9,91.877,73.841,18.48
9,91.873,73.841,18.49
9,91.869,73.841,18.49
9,91.865,73.84,18.49
9,91.861,73.84,18.49
9,91.857,73.84,18.49
9,91.854,73.839,18.49
9,91.85,73.839,18.49
9,91.846,73.839,18.49
9,91.842,73.838,18.49
9,91.838,73.838,18.49
9,91.834,73.838,18.5
9,91.83,73.837,18.5
9,91.827,73.837,18.5
9,91.823,73.837,18.5
9,91.819,73.836,18.5
9,91.815,73.836,18
9,91.811,73.836,18.5
9,91.807,73.835,18.5
9,91.803,73.835,18.5
9,91.8,73.835,18.5
9,91.796,73.834,18.51
9,91.792,73.834,18.51
9,91.788,73.834,18.51
9,91.784,73.833,18.51
9,91.78,73.833,18.51
9,91.776,73.833,18.51
9,91.773,73.832,18.51
9,91.769,73.832,18.51
9,91.765,73.832,18.51
9,91.761,73.831,18.51
9,91.757,73.831,18.52
9,91.753,73.831,18.52
9,91.749,73.83,18.52
9,91.746,73.83,18.52
9,91.742,73.83,18.52
9,91.738,73.83,18.52
9,91.734,73.829,18.52
9,91.73,73.829,18.52
9,91.726,73.829,18.52
9,91.722,73.828,18.52
9,91.718,73.828,18.53
9,91.715,73.828,18.53
9,91.711,73.827,18.53
9,91.707,73.827,18.53
9,91.703,73.827,18.53
9,91.699,73.826,18.53
9,91.695,73.826,18.53
9,91.691,73.826,18.53
9,91.688,73.825,18.53
9,91.684,73.825,18.53
9,91.68,73.825,18.54
9,91.676,73.824,18.54
9,91.672,73.824,18.54
9,91.668,73.824,18.54
10,91.664,73.823,18.54
10,91.661,73.823,18.54
10,91.657,73.823,18.54
10,91.653,73.822,18.54
10,91.649,73.822,18.54
10,91.645,73.822,18.54
10,91.641,73.821,18.55
10,91.637,73.821,18.55
10,91.634,73.821,18.55
10,91.63,73.82,18.55
10,91.626,73.82,18.55
10,91.622,73.82,18.55
10,91.618,73.819,18.55
10,91.614,73.819,18.55
10,91.61,73.819,18.55
10,91.607,73.819,18.55
10,91.603,73.818,18.56
10,91.599,73.818,18.56
10,91.595,73.818,18.56
10,91.591,73.817,18.56
10,91.587,73.817,18.56
10,91.583,73.817,18.56
10,91.58,73.816,18.56
10,91.576,73.816,18.56
10,91.572,73.816,18.56
10,91.568,73.815,18.56
10,91.564,73.815,18.57
10,91.56,73.815,18.57
10,91.556,73.814,18.57
10,91.553,73.814,18.57
10,91.549,73.814,18.57
10,91.545,73.813,18.57
10,91.541,73.813,18.57
10,91.537,73.813,18.57
10,91.533,73.812,18.57
10,91.529,73.812,18.57
10,91.526,73.812,18.58
10,91.522,73.811,18.58
10,91.518,73.811,18.58
10,91.514,73.811,18.58
10,91.51,73.81,18.58
10,91.506,73.81,18.58
10,91.502,73.81,18.58
10,91.498,73.809,18.58
10,91.495,73.809,18.58
10,91.491,73.809,18.58
10,91.487,73.808,18.59
10,91.483,73.808,18.59
10,91.479,73.808,18.59
10,91.475,73.807,18.59
10,91.471,73.807,18.59
10,91.468,73.807,18.59
10,91.464,73.807,18.59
10,91.46,73.806,18.59
10,91.456,73.806,18.59
10,91.452,73.806,18.59
10,91.448,73.805,18.6
10,91.444,73.805,18.6
10,91.441,73.805,18.6
10,91.437,73.804,18.6
11,91.433,73.804,18.6
11,91.429,73.804,18
11,91.425,73.803,18.6
11,91.421,73.803,18.6
11,91.417,73.803,18.6
11,91.414,73.802,18.6
11,91.41,73.802,18.61
11,91.406,73.802,18.61
11,91.402,73.801,18.61
11,91.398,73.801,18.61
11,91.394,73.801,18.61
11,91.39,73.8,18.61
11,91.387,73.8,18.61
11,91.383,73.8,18.61
11,91.379,73.799,18.61
11,91.375,73.799,18.61
11,91.371,73.799,18.62
11,91.367,73.798,18.62
11,91.363,73.798,18.62
11,91.36,73.798,18.62
11,91.356,73.797,18.62
11,91.352,73.797,18.62
11,91.348,73.797,18.62
11,91.344,73.796,18.62
11,91.34,73.796,18.62
11,91.336,73.796,18.62
11,91.332,73.796,18.63
11,91.329,73.795,18.63
11,91.325,73.795,18.63
11,91.321,73.795,18.63
11,91.317,73.794,18.63
11,91.313,73.794,18.63
11,91.309,73.794,18.63
11,91.305,73.793,18.63
11,91.302,73.793,18.63
11,91.298,73.793,18.63
11,91.294,73.792,18.64
11,91.29,73.792,18.64
11,91.286,73.792,18.64
11,91.282,73.791,18.64
11,91.278,73.791,18.64
11,91.275,73.791,18.64
11,91.271,73.79,18.64
11,91.267,73.79,18.64
11,91.263,73.79,18.64
11,91.259,73.789,18.64
11,91.255,73.789,18.65
11,91.251,73.789,18.65
11,91.248,73.788,18.65
11,91.244,73.788,18.65
11,91.24,73.788,18.65
11,91.236,73.787,18.65
11,91.232,73.787,18.65
11,91.228,73.787,18.65
11,91.224,73.786,18.65
11,91.221,73.786,18.65
11,91.217,73.786,18.66
11,91.213,73.785,18.66
11,91.209,73.785,18.66
11,91.205,73.785,18.66
12,91.201,73.784,18.66
12,91.197,73.784,18.66
12,91.194,73.784,18.66
12,91.19,73.784,18.66
12,91.186,73.783,18.66
12,91.182,73.783,18.66
12,91.178,73.783,18.67
12,91.174,73.782,18.67
12,91.17,73.782,18.67
12,91.167,73.782,18.67
12,91.163,73.781,18.67
12,91.159,73.781,18.67
12,91.155,73.781,18.67
12,91.151,73.78,18.67
12,91.147,73.78,18.67
12,91.143,73.78,18.67
12,91.139,73.779,18.68
12,91.136,73.779,18.68
12,91.132,73.779,18.68
12,91.128,73.778,18.68
12,91.124,73.778,18.68
12,91.12,73.778,18.68
12,91.116,73.777,18.68
12,91.112,73.777,18.68
12,91.109,73.777,18.68
12,91.105,73.776,18.68
12,91.101,73.776,18.69
12,91.097,73.776,18.69
12,91.093,73.775,18.69
12,91.089,73.775,18.69
12,91.085,73.775,18.69
12,91.082,73.774,18.69
12,91.078,73.774,18.69
12,91.074,73.774,18.69
12,91.07,73.773,18.69
12,91.066,73.773,18.69
12,91.062,73.773,18.7
12,91.058,73.772,18.7
12,91.055,73.772,18.7
12,91.051,73.772,18.7
12,91.047,73.772,18.7
12,91.043,73.771,18
12,91.039,73.771,18.7
12,91.035,73.771,18.7
12,91.031,73.77,18.7
12,91.028,73.77,18.7
12,91.024,73.77,18.71
12,91.02,73.769,18.71
12,91.016,73.769,18.71
12,91.012,73.769,18.71
12,91.008,73.768,18.71
12,91.004,73.768,18.71
12,91.001,73.768,18.71
12,90.997,73.767,18.71
12,90.993,73.767,18.71
12,90.989,73.767,18.71
12,90.985,73.766,18.72
12,90.981,73.766,18.72
12,90.977,73.766,18.72
12,90.974,73.765,18.72
13,90.97,73.765,18.72
13,90.966,73.765,18.72
13,90.962,73.764,18.72
13,90.958,73.764,18.72
13,90.954,73.764,18.72
13,90.95,73.763,18.72
13,90.947,73.763,18.73
13,90.943,73.763,18.73
13,90.939,73.762,18.73
13,90.935,73.762,18.73
13,90.931,73.762,18.73
13,90.927,73.761,18.73
13,90.923,73.761,18.73
13,90.919,73.761,18.73
13,90.916,73.761,18.73
13,90.912,73.76,18.73
13,90.908,73.76,18.74
13,90.904,73.76,18.74
13,90.9,73.759,18.74
13,90.896,73.759,18.74
13,90.892,73.759,18.74
13,90.889,73.758,18.74
13,90.885,73.758,18.74
13,90.881,73.758,18.74
13,90.877,73.757,18.74
13,90.873,73.757,18.74
13,90.869,73.757,18.75
13,90.865,73.756,18.75
13,90.862,73.756,18.75
13,90.858,73.756,18.75
13,90.854,73.755,18.75
13,90.85,73.755,18.75
13,90.846,73.755,18.75
13,90.842,73.754,18.75
13,90.838,73.754,18.75
13,90.835,73.754,18.75
13,90.831,73.753,18.76
13,90.827,73.753,18.76
13,90.823,73.753,18.76
13,90.819,73.752,18.76
13,90.815,73.752,18.76
13,90.811,73.752,18.76
13,90.808,73.751,18.76
13,90.804,73.751,18.76
13,90.8,73.751,18.76
13,90.796,73.75,18.76
13,90.792,73.75,18.77
13,90.788,73.75,18.77
13,90.784,73.749,18.77
13,90.781,73.749,18.77
13,90.777,73.749,18.77
13,90.773,73.749,18.77
13,90.769,73.748,18.77
13,90.765,73.748,18.77
13,90.761,73.748,18.77
13,90.757,73.747,18.77
13,90.754,73.747,18.78
13,90.75,73.747,18.78
13,90.746,73.746,18.78
13,90.742,73.746,18.78
14,90.738,73.746,18.78
14,90.734,73.745,18.78
14,90.73,73.745,18.78
14,90.726,73.745,18.78
14,90.723,73.744,18.78
14,90.719,73.744,18.78
14,90.715,73.744,18.79
14,90.711,73.743,18.79
14,90.707,73.743,18.79
14,90.703,73.743,18.79
14,90.699,73.742,18.79
14,90.696,73.742,18.79
14,90.692,73.742,18.79
14,90.688,73.741,18.79
14,90.684,73.741,18.79
14,90.68,73.741,18.79
14,90.676,73.74,18.8
14,90.672,73.74,18.8
14,90.669,73.74,18.8
14,90.665,73.739,18.8
14,90.661,73.739,18.8
14,90.657,73.739,18
14,90.653,73.738,18.8
14,90.649,73.738,18.8
14,90.645,73.738,18.8
14,90.642,73.738,18.8
14,90.638,73.737,18.81
14,90.634,73.737,18.81
14,90.63,73.737,18.81
14,90.626,73.736,18.81
14,90.622,73.736,18.81
14,90.618,73.736,18.81
14,90.615,73.735,18.81
14,90.611,73.735,18.81
14,90.607,73.735,18.81
14,90.603,73.734,18.81
14,90.599,73.734,18.82
14,90.595,73.734,18.82
14,90.591,73.733,18.82
14,90.588,73.733,18.82
14,90.584,73.733,18.82
14,90.58,73.732,18.82
14,90.576,73.732,18.82
14,90.572,73.732,18.82
14,90.568,73.731,18.82
14,90.564,73.731,18.82
14,90.56,73.731,18.83
14,90.557,73.73,18.83
14,90.553,73.73,18.83
14,90.549,73.73,18.83
14,90.545,73.729,18.83
14,90.541,73.729,18.83
14,90.537,73.729,18.83
14,90.533,73.728,18.83
14,90.53,73.728,18.83
14,90.526,73.728,18.83
14,90.522,73.727,18.84
14,90.518,73.727,18.84
14,90.514,73.727,18.84
14,90.51,73.726,18.84
15,90.506,73.726,18.84
15,90.503,73.726,18.84
15,90.499,73.726,18.84
15,90.495,73.725,18.84
15,90.491,73.725,18.84
15,90.487,73.725,18.84
15,90.483,73.724,18.85
15,90.479,73.724,18.85
15,90.476,73.724,18.85
15,90.472,73.723,18.85
15,90.468,73.723,18.85
15,90.464,73.723,18.85
15,90.46,73.722,18.85
15,90.456,73.722,18.85
15,90.452,73.722,18.85
15,90.449,73.721,18.85
15,90.445,73.721,18.86
15,90.441,73.721,18.86
15,90.437,73.72,18.86
15,90.433,73.72,18.86
15,90.429,73.72,18.86
15,90.425,73.719,18.86
15,90.422,73.719,18.86
15,90.418,73.719,18.86
15,90.414,73.718,18.86
15,90.41,73.718,18.86
15,90.406,73.718,18.87
15,90.402,73.717,18.87
15,90.398,73.717,18.87
15,90.395,73.717,18.87
15,90.391,73.716,18.87
15,90.387,73.716,18.87
15,90.383,73.716,18.87
15,90.379,73.715,18.87
15,90.375,73.715,18.87
15,90.371,73.715,18.87
15,90.368,73.715,18.88
15,90.364,73.714,18.88
15,90.36,73.714,18.88
15,90.356,73.714,18.88
15,90.352,73.713,18.88
15,90.348,73.713,18.88
15,90.344,73.713,18.88
15,90.34,73.712,18.88
15,90.337,73.712,18.88
15,90.333,73.712,18.88
15,90.329,73.711,18.89
15,90.325,73.711,18.89
15,90.321,73.711,18.89
15,90.317,73.71,18.89
15,90.313,73.71,18.89
15,90.31,73.71,18.89
15,90.306,73.709,18.89
15,90.302,73.709,18.89
15,90.298,73.709,18.89
15,90.294,73.708,18.89
15,90.29,73.708,18.9
15,90.286,73.708,18.9
15,90.283,73.707,18.9
15,90.279,73.707,18.9
16,90.275,73.707,18.9
16,90.271,73.706,18
16,90.267,73.706,18.9
16,90.263,73.706,18.9
16,90.259,73.705,18.9
16,90.256,73.705,18.9
16,90.252,73.705,18.91
16,90.248,73.704,18.91
16,90.244,73.704,18.91
16,90.24,73.704,18.91
16,90.236,73.703,18.91
16,90.232,73.703,18.91
16,90.229,73.703,18.91
16,90.225,73.703,18.91
16,90.221,73.702,18.91
16,90.217,73.702,18.91
16,90.213,73.702,18.92
16,90.209,73.701,18.92
16,90.205,73.701,18.92
16,90.202,73.701,18.92
16,90.198,73.7,18.92
16,90.194,73.7,18.92
16,90.19,73.7,18.92
16,90.186,73.699,18.92
16,90.182,73.699,18.92
16,90.178,73.699,18.92
16,90.174,73.698,18.93
16,90.171,73.698,18.93
16,90.167,73.698,18.93
16,90.163,73.697,18.93
16,90.159,73.697,18.93
16,90.155,73.697,18.93
16,90.151,73.696,18.93
16,90.147,73.696,18.93
16,90.144,73.696,18.93
16,90.14,73.695,18.93
16,90.136,73.695,18.94
16,90.132,73.695,18.94
16,90.128,73.694,18.94
16,90.124,73.694,18.94
16,90.12,73.694,18.94
16,90.117,73.693,18.94
16,90.113,73.693,18.94
16,90.109,73.693,18.94
16,90.105,73.692,18.94
16,90.101,73.692,18.94
16,90.097,73.692,18.95
16,90.093,73.691,18.95
16,90.09,73.691,18.95
16,90.086,73.691,18.95
16,90.082,73.691,18.95
16,90.078,73.69,18.95
16,90.074,73.69,18.95
16,90.07,73.69,18.95
16,90.066,73.689,18.95
16,90.063,73.689,18.95
16,90.059,73.689,18.96
16,90.055,73.688,18.96
16,90.051,73.688,18.96
16,90.047,73.688,18.96
17,90.043,73.687,18.96
17,90.039,73.687,18.96
17,90.036,73.687,18.96
17,90.032,73.686,18.96
17,90.028,73.686,18.96
17,90.024,73.686,18.96
17,90.02,73.685,18.97
17,90.016,73.685,18.97
17,90.012,73.685,18.97
17,90.009,73.684,18.97
17,90.005,73.684,18.97
17,90.001,73.684,18.97
17,89.997,73.683,18.97
17,89.993,73.683,18.97
17,89.989,73.683,18.97
17,89.985,73.682,18.97
17,89.982,73.682,18.98
17,89.978,73.682,18.98
17,89.974,73.681,18.98
17,89.97,73.681,18.98
17,89.966,73.681,18.98
17,89.962,73.68,18.98
17,89.958,73.68,18.98
17,89.954,73.68,18.98
17,89.951,73.68,18.98
17,89.947,73.679,18.98
17,89.943,73.679,18.99
17,89.939,73.679,18.99
17,89.935,73.678,18.99
17,89.931,73.678,18.99
17,89.927,73.678,18.99
17,89.924,73.677,18.99
17,89.92,73.677,18.99
17,89.916,73.677,18.99
17,89.912,73.676,18.99
17,89.908,73.676,18.99
17,89.904,73.676,19
17,89.9,73.675,19
17,89.897,73.675,19
17,89.893,73.675,19
17,89.889,73.674,19
17,89.885,73.674,19
17,89.881,73.674,19
